amount,wallet
2,0x8c4a2b57063ae4b742b4cd6e41946ba36168865d
2,0xdfae2ea9ccc33fd54865eaa037d6acb05ebfc1a4
1,0x009396895f44c8485bd4ab6f2f51843ab1e9c121
1,0xbf44c636a4a4bbe257a87067b25c4c875170e04d
1,0x20345c3a4afa7a35f917068dd3def812c367f051
1,0xc0606eee8c2d0782e4f06ebd4fccd5799be6fbd2
2,0xc1d040b7ebcc0a571d9e2d54e10bd04c505e7d37
1,0xb6095324712ae350bd3bab367b151c4ab3ef6a9b
2,0x0ec997abd9ae9bdce46a01aff482f613c3e38609
1,0x7e330570bd914b3d70c9502a702a3d4c24ce51bd
1,0xd78bb8dc8c5ff23cc3c1b39f8577ae8a4ebd46d6
1,0x1f91857126c86b7275d1e5e8b053667615f0f14e
1,0xb2dc0a86cedd23437f649085fbdd7cbf158ee1ba
4,0x29f6f253c499eb420721a347234d9c6fdad3d5e6
1,0xbb596b963f5cbce940c190f6d4a6edf98e764ad6
1,0xa5f2bb90ae6a16486d7d33d2a8a654da93fc70cf
2,0xa9e51500df3e900c0d774a2ba1c636865c047638
4,0x7913c492e35c958956ebcf1a35e5e293b870cfbf
1,0x049dc0ad3981790711265c46e41f097095fb5821
1,0x1a4b7409e020140443a02ef26858a7e53ac7d652
1,0x57df4cc0b76c2cccdd1ce7181be25c7c8379f8a1
1,0x317cc83eac41fd29ca87b184c82d7e007bf7b3df
1,0x70a7f9d04d8f0d0c0c574b224e309d7d465f4fcf
1,0x38b52491755e760fae67ff723e8ca1d38935a21e
1,0xb26c452e8ac20ae7445fcf46b6478d3984f5d8e9
1,0xf7536922d2b3d674e4ab0ce83bf0af83f6a10cb7
1,0xd4516c638a97e61aabc4abc8d65411ec19382f03
2,0xe3ac093b74dd6ce6179ecffde611e65968580924
1,0x622bdbf43d9d47a5320c7fd907123f520cdb7063
1,0x2a5595f487a15c9cca39bcdc17d551169d2552c5
1,0x38f8c57b9b2f73b62e2b5976ffa4e52baa5f9004
1,0xd822512dbd04053646d5fa21974fad49291f1aea
1,0x34a72a826e2647da80a66bc778e95ad5fbbabeb4
2,0x3488244c0d2d7c388ba835d4e59c45905102c0e9
2,0x41db2348f54dbab35908594a3a47e9c3e2c71bfe
2,0xa867126424924af383490bb3fb521de8f49fad0d
1,0xb79c26fafaafeb2835ff175d025db1b9deeedf5e
1,0x0bf8e891ac0186f42cf4da04eba85fd814bfd0f5
